,name,movie_acted,num_of_movie,sum_score,sum_nor_popularity,avg_score,avg_nor_popularity,nor_movie_count,scaled_avg_score
40840,Fernando Henrique Cardoso,['tm991351'],1,7.25,0.57,7.25,0.57,0.0,0.73
40841,Amarildo,['tm991351'],1,7.25,0.57,7.25,0.57,0.0,0.73
40842,Roberto Rivellino,['tm991351'],1,7.25,0.57,7.25,0.57,0.0,0.73
40843,Duygu Sarişin,['tm1102891'],1,6.0,0.62,6.0,0.62,0.0,0.6
40844,Cem Yiğit Üzümoğlu,['tm1102891'],1,6.0,0.62,6.0,0.62,0.0,0.6
40845,Rüzgar Aksoy,['tm1102891'],1,6.0,0.62,6.0,0.62,0.0,0.6
40846,Metehan Parıltı,['tm1102891'],1,6.0,0.62,6.0,0.62,0.0,0.6
40847,Elif Gizem Aykul,['tm1102891'],1,6.0,0.62,6.0,0.62,0.0,0.6
40848,Ümit Belen,['tm1102891'],1,6.0,0.62,6.0,0.62,0.0,0.6
40849,Griffin Murray-Johnston,['tm894254'],1,6.949999999999999,0.6,6.949999999999999,0.6,0.0,0.7
40850,Felix Cameron,['tm894254'],1,6.949999999999999,0.6,6.949999999999999,0.6,0.0,0.7
40851,Abe Clifford-Barr,['tm894254'],1,6.949999999999999,0.6,6.949999999999999,0.6,0.0,0.7
40852,Leeanna Walsman,['tm894254'],1,6.949999999999999,0.6,6.949999999999999,0.6,0.0,0.7
40853,Lisa Hensley,['tm894254'],1,6.949999999999999,0.6,6.949999999999999,0.6,0.0,0.7
40854,Randolph Fields,['tm894254'],1,6.949999999999999,0.6,6.949999999999999,0.6,0.0,0.7
40855,Norman Lear,['tm983658'],1,7.4,0.44,7.4,0.44,0.0,0.74
40856,Karen Olivo,['tm983658'],1,7.4,0.44,7.4,0.44,0.0,0.74
40857,Hector Elizondo,['tm983658'],1,7.4,0.44,7.4,0.44,0.0,0.74
40858,Mitzi Gaynor,['tm983658'],1,7.4,0.44,7.4,0.44,0.0,0.74
40859,Annette Insdorf,['tm983658'],1,7.4,0.44,7.4,0.44,0.0,0.74
40860,Fernanda Gordon,['tm983658'],1,7.4,0.44,7.4,0.44,0.0,0.74
40861,Jackie Speier,['tm983658'],1,7.4,0.44,7.4,0.44,0.0,0.74
40862,Frances Negrón Muntaner,['tm983658'],1,7.4,0.44,7.4,0.44,0.0,0.74
40863,Julia Foulkes,['tm983658'],1,7.4,0.44,7.4,0.44,0.0,0.74
40864,John Ferguson,['tm983658'],1,7.4,0.44,7.4,0.44,0.0,0.74
40865,Terrence McNally,['tm983658'],1,7.4,0.44,7.4,0.44,0.0,0.74
40866,Tom Fontana,['tm983658'],1,7.4,0.44,7.4,0.44,0.0,0.74
40867,Rock Hudson,['tm983658'],1,7.4,0.44,7.4,0.44,0.0,0.74
40868,Todd Grinnell,['tm983658'],1,7.4,0.44,7.4,0.44,0.0,0.74
40869,Roger Rignack,['tm1003353'],1,6.95,0.56,6.95,0.56,0.0,0.7
40870,Jillian Peterson,['tm1003353'],1,6.95,0.56,6.95,0.56,0.0,0.7
40871,Courtney Rackley,['tm1003353'],1,6.95,0.56,6.95,0.56,0.0,0.7
40872,William-Christopher Stephens,['tm1003353'],1,6.95,0.56,6.95,0.56,0.0,0.7
40873,Cullen Arbaugh,['tm1003353'],1,6.95,0.56,6.95,0.56,0.0,0.7
40874,Leroy Edwards III,['tm1003353'],1,6.95,0.56,6.95,0.56,0.0,0.7
40875,David Starzyk,['tm1003353'],1,6.95,0.56,6.95,0.56,0.0,0.7
40876,Kristen O'Meara,['tm1003353'],1,6.95,0.56,6.95,0.56,0.0,0.7
40877,Angela Nicholas,['tm1003353'],1,6.95,0.56,6.95,0.56,0.0,0.7
40878,Jeremy Sless,['tm1003353'],1,6.95,0.56,6.95,0.56,0.0,0.7
40879,John Coluccio,['tm1003353'],1,6.95,0.56,6.95,0.56,0.0,0.7
40880,Graham Outerbridge,['tm1003353'],1,6.95,0.56,6.95,0.56,0.0,0.7
40881,Sarah Chaney,['tm1003353'],1,6.95,0.56,6.95,0.56,0.0,0.7
40882,George Tovar,['tm1003353'],1,6.95,0.56,6.95,0.56,0.0,0.7
40883,Cristina Frias,['tm1003353'],1,6.95,0.56,6.95,0.56,0.0,0.7
40884,Ken Weiler,['tm1003353'],1,6.95,0.56,6.95,0.56,0.0,0.7
40885,Angela Sprinkle,['tm1003353'],1,6.95,0.56,6.95,0.56,0.0,0.7
40886,Gregory Gast,['tm1003353'],1,6.95,0.56,6.95,0.56,0.0,0.7
40887,Gus Lynch,['tm1003353'],1,6.95,0.56,6.95,0.56,0.0,0.7
40888,Mateusz Banasiuk,"['tm817075', 'tm1000185']",2,11.8,1.09,5.9,0.545,0.22,0.59
40889,Weronika Książkiewicz,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40890,Mateusz Damięcki,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40891,Łukasz Simlat,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40892,Wojciech Zieliński,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40893,Szymon Bobrowski,"['tm817075', 'tm1049290', 'tm1068632']",3,17.35,1.6800000000000002,5.783333333333334,0.56,0.34,0.58
40894,Konrad Eleryk,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40895,Cezary Łukaszewicz,"['tm817075', 'tm1068632']",2,11.85,1.11,5.925000000000001,0.555,0.22,0.59
40896,Kacper Sasin,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40897,Krzysztof Wach,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40898,Sylwia Juszczak,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40899,Adam Zdrójkowski,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40900,Oskar Stoczyński,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
40901,Paweł Iwanicki,['tm817075'],1,6.2,0.55,6.2,0.55,0.0,0.62
