id,name,title,imdb_score,tmdb_score,imdb_votes,tmdb_popularity,nor_imdb_vote,nor_tmdb_popularity,weighted_average_popularity
tm188970,Chris Bould,Bill Hicks: Revelations,8.5,8.1,3098.0,3.784,0.49,0.49,0.49
tm12876,Mani Ratnam,Bombay,8.1,7.2,12629.0,4.99,0.6,0.51,0.55
tm62176,Indra Kumar,Mann,6.1,6.7,5451.0,2.595,0.54,0.46,0.5
tm52871,Abbas Alibhai Burmawalla,Soldier,6.2,5.7,3063.0,3.623,0.49,0.48,0.48
tm52871,Mastan Alibhai Burmawalla,Soldier,6.2,5.7,3063.0,3.623,0.49,0.48,0.48
tm8687,Walter C. Miller,Sam Kinison: Family Entertainment Hour,,6.1,2591.0,1.84,0.48,0.43,0.45
tm104933,Chuck Vinson,Sinbad: Son of a Preacher Man,6.8,5.8,116.0,1.536,0.24,0.41,0.32
tm184326,Rajkumar Santoshi,Damini,7.8,7.3,3523.0,3.328,0.5,0.48,0.49
tm62385,Sooraj Barjatya,Hum Saath Saath Hain,6.2,6.0,8552.0,7.865,0.57,0.54,0.55
tm191614,,Destiny,7.1,6.7,2857.0,3.287,0.49,0.47,0.48
tm110766,Elia Suleiman,Chronicle of a Disappearance,6.9,6.7,733.0,2.099,0.38,0.44,0.41
tm9898,K. S. Ravikumar,Muthu,7.6,6.9,3056.0,3.576,0.49,0.48,0.48
tm47530,Shankar,Jeans,6.4,6.5,3604.0,3.393,0.5,0.48,0.49
tm57169,Paul Miller,Monty Python: Live at Aspen,7.8,6.9,1096.0,2.681,0.41,0.46,0.44
tm192301,Rajiv Menon,Minsara Kanavu,6.7,6.6,1226.0,2.316,0.42,0.45,0.44
tm58893,Mahesh Bhatt,Duplicate,5.5,6.0,7618.0,4.112,0.56,0.49,0.52
tm110160,K. S. Ravikumar,Avvai Shanmugi,7.9,7.5,2586.0,2.828,0.48,0.46,0.47
tm118438,Rahul Rawail,Anjaam,6.6,7.1,6532.0,3.806,0.55,0.49,0.52
tm424630,Richard Michaels,A Triumph of the Heart: The Ricky Bell Story,7.2,5.1,250.0,1.533,0.3,0.41,0.36
tm27601,Aziz Mirza,Phir Bhi Dil Hai Hindustani,6.1,6.6,7610.0,7.778,0.56,0.54,0.55
tm203186,Mai Masri,Children of Shatila,8.1,6.7,78.0,1.635,0.21,0.42,0.32
tm128073,Chris Bould,Bill Hicks: Relentless,,7.8,2591.0,3.822,0.48,0.49,0.48
tm7951,Ellen Brown,Tim Allen: Rewires America,6.0,7.0,198.0,2.297,0.28,0.45,0.36
tm7135,John Fortenberry,Bill Hicks: One Night Stand,,7.5,2591.0,1.08,0.48,0.38,0.43
tm7135,Ellen Brown,Bill Hicks: One Night Stand,,7.5,2591.0,1.08,0.48,0.38,0.43
tm52083,Ziad Doueiri,West Beirut,7.6,7.3,4221.0,3.308,0.52,0.47,0.5
tm340430,Ram Gopal Varma,Govindha Govindha,6.6,4.0,356.0,1.248,0.33,0.4,0.36
tm7032,Maroun Bagdadi,Out of Life,6.9,6.2,376.0,2.481,0.33,0.45,0.39
tm256669,Mahesh Bhatt,Gumrah,6.1,6.7,795.0,1.763,0.39,0.42,0.4
tm64729,Chuck Vinson,Sinbad: Nothin' but the Funk,6.3,5.2,65.0,1.83,0.2,0.43,0.32
