,name,movie_directed,num_of_movie,sum_score,sum_nor_popularity,avg_score,avg_nor_popularity,nor_movie_count,scaled_avg_score
308,Tarun Mansukhani,"['tm54147', 'tm366245']",2,10.6,11.7,5.3,5.85,1.7243743076436346,0.53
309,Ketche,"['tm101684', 'tm1179579']",2,11.15,10.4,5.575,5.2,1.7243743076436346,0.56
310,Renzil D'Silva,"['tm152724', 'tm143299']",2,11.0,10.0,5.5,5.0,1.7243743076436346,0.55
311,Rohan Sippy,['tm165809'],1,6.199999999999999,5.2,6.199999999999999,5.2,0.0,0.62
312,Rohit Shetty,"['tm31335', 'tm164353', 'tm176481', 'tm466544']",4,24.1,25.0,6.025,6.25,3.8968290113739616,0.6
313,Soham Shah,['tm170169'],1,4.5,5.2,4.5,5.2,0.0,0.45
314,Apoorva Lakhia,"['tm84316', 'tm57586']",2,10.1,9.5,5.05,4.75,1.7243743076436346,0.5
315,Satyajit Bhatkal,"['tm368679', 'tm182026']",2,13.1,7.6,6.550000000000001,3.8,1.7243743076436346,0.66
316,Sangeeth Sivan,['tm176297'],1,5.55,5.0,5.55,5.0,0.0,0.56
317,Dani Levy,['tm68191'],1,5.55,5.2,5.55,5.2,0.0,0.56
318,Joe Dante,['tm352863'],1,3.85,4.3,3.85,4.3,0.0,0.38
319,Leste Chen,"['tm25029', 'tm1049317']",2,12.7,9.1,6.35,4.55,1.7243743076436346,0.64
320,Kunle Afolayan,"['tm237621', 'tm224577', 'tm197423', 'tm554110', 'tm946795', 'tm675214', 'tm1102570', 'tm1122095']",8,44.55,31.300000000000004,5.5687500000000005,3.912500000000001,6.396585964720408,0.56
321,Michael Drumm,"['tm22989', 'tm164090']",2,14.15,8.8,7.074999999999999,4.4,1.7243743076436346,0.71
322,Nishikant Kamat,"['tm35652', 'tm218052']",2,15.35,11.6,7.675000000000001,5.8,1.7243743076436346,0.77
323,Bernie Denk,"['tm80487', 'tm845588']",2,11.2,9.0,5.6,4.5,1.7243743076436346,0.56
324,Yasmin Ahmad,"['tm22558', 'tm152413', 'tm87672']",3,20.45,10.2,6.816666666666666,3.4,2.9478373494331396,0.68
