name,movie acted,num_of_movie,sum_score,sum_popularity,avg_score,avg_popularity,ClusterLabel
Woody Allen,['tm163686'],1,7.15,0.69,7.15,0.69,2
Patrick Brice,"['tm151807', 'tm317566', 'tm1110150']",3,17.9,1.96,5.966666666666666,0.6533333333333333,0
Andrew Fleming,['tm151764'],1,6.6,0.6,6.6,0.6,2
Phillip Noyce,['tm153284'],1,6.45,0.69,6.45,0.69,2
Justin Chadwick,['tm165967'],1,7.0,0.6,7.0,0.6,2
Eli Roth,['tm161525'],1,5.5,0.68,5.5,0.68,0
Dito Montiel,"['tm168400', 'tm294581']",2,10.25,1.21,5.125,0.605,0
Simon J. Smith,['tm161282'],1,6.55,0.74,6.55,0.74,2
Eric Darnell,['tm161282'],1,6.55,0.74,6.55,0.74,2
Scott Frank,['tm148671'],1,6.4,0.74,6.4,0.74,2
Brad Anderson,"['tm171042', 'tm244332', 'tm447963']",3,19.65,2.03,6.55,0.6766666666666667,2
Malcolm D. Lee,['tm178712'],1,4.15,0.75,4.15,0.75,0
Stephen Frears,"['tm187279', 'tm285107']",2,14.4,1.29,7.2,0.645,2
Steven Knight,['tm165521'],1,6.15,0.59,6.15,0.59,0
Sergei Bodrov,['tm141648'],1,5.5,0.72,5.5,0.72,0
Lee Daniels,['tm176630'],1,7.300000000000001,0.68,7.300000000000001,0.68,2
Kris Pearn,"['tm187979', 'tm849005']",2,13.05,1.37,6.525,0.685,2
Cody Cameron,['tm187979'],1,6.35,0.74,6.35,0.74,2
Nimród Antal,['tm171228'],1,6.949999999999999,0.61,6.949999999999999,0.61,2
Scott Walker,['tm181270'],1,6.35,0.64,6.35,0.64,2
Michael John Warren,"['tm237143', 'tm324124']",2,14.35,1.05,7.175000000000001,0.525,2
Jonathan Teplitzky,['tm181081'],1,7.0,0.62,7.0,0.62,2
Tate Taylor,"['tm144121', 'tm983787']",2,12.4,1.34,6.2,0.6699999999999999,2
Baran bo Odar,['tm143642'],1,7.6,0.68,7.6,0.68,2
Chapman Way,"['tm148976', 'tm1091155']",2,15.6,1.02,7.8,0.51,2
Maclain Way,"['tm148976', 'tm1091155']",2,15.6,1.02,7.8,0.51,2
Steven Brill,"['tm136601', 'tm239707', 'tm437608', 'tm266685', 'tm847998']",5,30.0,3.1300000000000003,6.0,0.6260000000000001,1
Keegan Kuhn,"['tm151716', 'tm307910']",2,15.2,1.19,7.6,0.595,2
Stuart Beattie,['tm140342'],1,5.199999999999999,0.68,5.199999999999999,0.68,0
Roger Donaldson,['tm151447'],1,6.15,0.68,6.15,0.68,0
Bruce Beresford,['tm469911'],1,7.2,0.42,7.2,0.42,2
Mark Raso,"['tm161562', 'tm346943', 'tm1038344']",3,19.1,1.83,6.366666666666666,0.61,2
Stuart Blumberg,['tm71148'],1,6.15,0.61,6.15,0.61,0
Orlando von Einsiedel,"['tm138431', 'tm252245', 'tm431810', 'tm1099320']",4,27.55,1.91,6.8875,0.4775,1
Seth Barrish,"['tm171965', 'tm307950', 'tm840438']",3,22.75,1.41,7.583333333333333,0.47,2
Richard Laxton,['tm157085'],1,5.95,0.53,5.95,0.53,0
Petra Costa,"['tm185208', 'tm149212', 'tm446581']",3,22.2,1.46,7.399999999999999,0.4866666666666666,2
Tom Elkins,['tm180599'],1,5.5,0.63,5.5,0.63,0
Peter Lepeniotis,"['tm154797', 'tm327540']",2,11.6,1.19,5.800000000000001,0.595,0
Hany Abu-Assad,['tm182275'],1,7.35,0.48,7.35,0.48,2
Alex Gibney,['tm172710'],1,6.75,0.54,6.75,0.54,2
Scot Armstrong,['tm143757'],1,5.5,0.55,5.5,0.55,0
Takashi Yamazaki,"['tm143372', 'tm941382', 'tm466832']",3,21.5,1.7400000000000002,7.166666666666667,0.5800000000000001,2
Ryuichi Yagi,"['tm143372', 'tm941382', 'tm466832']",3,21.5,1.7400000000000002,7.166666666666667,0.5800000000000001,2
Jehane Noujaim,"['tm187390', 'tm446609']",2,14.95,1.16,7.475,0.5800000000000001,2
Abhishek Varman,['tm143363'],1,6.75,0.61,6.75,0.61,2
Raphael Bob-Waksberg,['tm458034'],1,6.9,0.44,6.9,0.44,2
Josh Greenbaum,['tm171929'],1,7.3,0.46,7.3,0.46,2
Stephen Herek,"['tm180643', 'tm1087956']",2,12.85,1.09,6.425,0.5449999999999999,2
Elaine Bogan,['tm139617'],1,6.95,0.58,6.95,0.58,2
John Sanford,['tm139617'],1,6.95,0.58,6.95,0.58,2
Hasan Karacadag,"['tm182969', 'tm145216']",2,12.0,1.03,6.0,0.515,0
Anthony Pierce,['tm215339'],1,5.2,0.35,5.2,0.35,0
Omung Kumar,['tm151927'],1,6.949999999999999,0.55,6.949999999999999,0.55,2
Mike Fleiss,['tm139922'],1,7.3,0.43,7.3,0.43,2
Mrigdeep Singh Lamba,['tm185797'],1,6.85,0.55,6.85,0.55,2
Jimmy Hayward,['tm174289'],1,5.85,0.63,5.85,0.63,0
Graham Harrison,['tm174289'],1,5.85,0.63,5.85,0.63,0
Greg Richardson,['tm180802'],1,6.15,0.52,6.15,0.52,0
Eduardo Chauvet,"['tm183706', 'tm407349']",2,13.5,0.55,6.75,0.275,2
Roger Graef,['tm199408'],1,7.5,0.4,7.5,0.4,2
James Rogan,['tm199408'],1,7.5,0.4,7.5,0.4,2
Malik Vitthal,['tm140911'],1,6.6,0.52,6.6,0.52,2
Rick Morales,['tm144021'],1,6.7,0.5,6.7,0.5,2
Vinil Mathew,"['tm148457', 'tm867681']",2,13.4,1.19,6.7,0.595,2
Sebastián Schindel,"['tm148662', 'tm831873', 'tm473601', 'tm1180610']",4,25.700000000000003,2.29,6.425000000000001,0.5725,1
Akshay Akkineni,['tm145627'],1,5.4,0.44,5.4,0.44,0
Anthony D'Souza,['tm186161'],1,5.4,0.53,5.4,0.53,0
Shoojit Sircar,['tm183002'],1,7.1,0.6,7.1,0.6,2
Rajat Kapoor,['tm158302'],1,7.45,0.54,7.45,0.54,2
Remo D'Souza,"['tm186054', 'tm207668']",2,11.7,1.05,5.85,0.525,0
Marcelo Galvão,"['tm35895', 'tm327053']",2,12.8,0.98,6.4,0.49,2
Shashanka Ghosh,"['tm158980', 'tm863514']",2,12.55,1.01,6.275,0.505,2
Mae Cruz-Alviar,"['tm159819', 'tm187505', 'tm231911', 'tm198786', 'tm317274', 'tm997617']",6,41.25,2.43,6.875,0.4049999999999999,1
Cristina Jacob,"['tm2269', 'tm283938', 'tm368725', 'tm458893']",4,24.35,1.9,6.0875,0.475,1
Shashank Khaitan,"['tm160034', 'tm1025318']",2,12.95,1.09,6.475,0.545,2
Bhushan Patel,['tm142630'],1,4.1,0.48,4.1,0.48,0
Fisher Stevens,['tm149578'],1,7.7,0.48,7.7,0.48,2
Robert Nixon,['tm149578'],1,7.7,0.48,7.7,0.48,2
Limbert Fabian,['tm137379'],1,6.8,0.48,6.8,0.48,2
Brandon Oldenburg,['tm137379'],1,6.8,0.48,6.8,0.48,2
Albert Sharpe,['tm360904'],1,7.2,0.47,7.2,0.47,2
Kunal Deshmukh,['tm158546'],1,6.35,0.48,6.35,0.48,2
Sophie Robinson,['tm236725'],1,7.05,0.47,7.05,0.47,2
